title,domain,url,description,published_at
"With the Mueller report laying out a roadmap to impeachment, the House Democrats decide that impeaching Trump just isn't ""worthwhile"" [Fail]",fark.com,https://www.fark.com/comments/10389415/With-Mueller-report-laying-out-a-roadmap-to-impeachment-House-Democrats-decide-that-impeaching-Trump-just-isnt-worthwhile,"With the Mueller report laying out a roadmap to impeachment, the House Democrats decide that impeaching Trump just isn't ""worthwhile""",2019-04-18T23:53:38Z
11 moments Mueller investigated for obstruction of justice,pbs.org,https://www.pbs.org/newshour/politics/11-moments-mueller-investigated-for-obstruction-of-justice,"Special counsel Robert Mueller ultimately did not reach a final conclusion on the topic, but his report presented multiple instances in which Trump's actions were ""capable of exerting undue influence over"" the investigations.",2019-04-18T23:53:09Z
Fifteen shocking revelations from the Mueller report,dailymail.co.uk,https://www.dailymail.co.uk/news/article-6938393/Fifteen-shocking-revelations-Mueller-report.html,"Robert Mueller's report is in, and while there is no concrete evidence that President Trump colluded with Russia during his presidential campaign, there is no shortage of shocking revelations.",2019-04-18T23:52:49Z
"Fox’s MacCallum, Dem Rep Trade Blows in Heated Interview on Mueller: ‘You’re Very Rude, Sir!’",mediaite.com,https://www.mediaite.com/tv/foxs-maccallum-dem-rep-trade-blows-in-heated-interview-on-mueller-youre-very-rude-sir/,"Martha MacCallum and Sean Maloney (D-NY) were at each other's throats on Thursday night when the Fox News host accused the congressman of being ""very rude"" to her...",2019-04-18T23:52:09Z
Heavily redacted Mueller report leaves major questions unanswered,thehill.com,https://thehill.com/policy/national-security/439655-heavily-redacted-mueller-report-leaves-major-questions-unanswered,More than 900 redactions in special counsel Robert Mueller's 448-page report left unanswered major questions about President Trump's knowledge of Russian-led efforts to steal and disseminate Democratic documents in...,2019-04-18T23:51:54Z
"From Trump Tower to WikiLeaks, the Mueller report offers window into Trump campaign, presidency",usatoday.com,https://www.usatoday.com/story/news/politics/2019/04/18/robert-mueller-report-see-insight-into-key-donald-trump-campaign-presidency/3513226002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,Special counsel Robert Mueller's report gives a behind-the-scenes account of some of the notable events of Donald Trump's campaign and presidency.,2019-04-18T23:51:46Z
"From Trump Tower to WikiLeaks, the Mueller report offers window into Trump campaign, presidency",yahoo.com,https://news.yahoo.com/trump-tower-wikileaks-mueller-report-235146014.html,Special counsel Robert Mueller's report gives a behind-the-scenes account of some of the notable events of Donald Trump's campaign and presidency.,2019-04-18T23:51:46Z
College students discuss Mueller report,whsv.com,https://www.whsv.com/content/news/College-students-discuss-Mueller-report-508776921.html,"While much of the country may be discussing the release of Special Counsel Robert Mueller's report, it's also being discussed in at least one classroom in the valley.",2019-04-18T23:51:30Z
"Mueller Says “No Collusion” But Affirms ""Russian Interference"" Myth",sputniknews.com,https://sputniknews.com/radio_loud_and_clear/201904191074271925-mueller-says-no-collusion/,"On today's episode of Loud & Clear, Brian Becker and John Kiriakou are joined by Coleen Rowley, a former FBI special agent whistleblower and TIME person of the year, Ben Norton, a journalist with the Grayzone Project and co-host of the Moderate Rebels podcast…",2019-04-18T23:51:00Z
Listen: NPR's Special Coverage Of The Release Of The Mueller Report,npr.org,https://www.npr.org/2019/04/18/714385787/listen-nprs-special-coverage-of-the-release-of-the-mueller-report,"NPR takes a deep dive into what the Mueller report reveals and doesn't about collusion, obstruction of justice and Russian interference in the 2016 presidential election. Copyright 2019 NPR. To see more, visit https://www.npr.org.",2019-04-18T23:50:54Z
"Claiming victory after report release, Trump says he could have fired everyone",timesofisrael.com,https://www.timesofisrael.com/claiming-victory-after-report-release-trump-says-he-could-have-fired-everyone/,"President says probe exonerates him of Russian meddling and obstruction suspicions, though Mueller paper details how he tried to squeeze investigation",2019-04-18T23:50:38Z
My book report on 'The Mueller Report' (Alexandra Petri/Washington Post),memeorandum.com,https://www.memeorandum.com/190418/p102,"Alexandra Petri / Washington Post : My book report on ‘The Mueller Report’ — I enjoyed reading “The Mueller Report,” a book that contained 448 pages, each more exciting than the last, as well as more than 1,000 footnotes! The book was published in 2019, meani…",2019-04-18T23:50:00Z
"Russians used coal to sow discord among Americans, says Mueller report",grist.org,http://grist.org/article/russians-used-coal-to-sow-discord-among-americans-says-mueller-report/,"About a third of Mueller’s long-awaited report, released on Thursday, has been redacted. But enough is left to determine that Russia tried to exacerbate America’s mixed feelings about coal in order to tip the election in Trump’s favor.",2019-04-18T23:49:44Z
Attorney General releases redacted version of Mueller report - ABC News,youtube.com,https://www.youtube.com/watch?v=I9kcs7MbYKw,Attorney General releases redacted version of Mueller report ABC News See how much of the Mueller report was redacted Los Angeles Times James Clapper: Mueller report is devastating CNN Barr to allow some lawmakers to review less-redacted Mueller report as soo…,2019-04-18T23:49:18Z
"Mueller finds no conspiracy, but extensive Trump-Russia contacts",reuters.com,https://uk.reuters.com/article/uk-usa-trump-russia-collusion-idUKKCN1RU2MF,"Special Counsel Robert Mueller may not have found evidence of a criminal conspiracy between Donald Trump's 2016 campaign and Russia, but his report details extensive contacts between the campaign and Russian operatives who sought to influence the election.",2019-04-18T23:49:15Z
